DATE,UBIT,DURATION,ACTIVITY & TOOL DESCTIPTION


09/18/2024, jchen526, 30 minutes, read through PRE1 document to understand task at hand

09/18/2024, jchen526, 30 minutes, read through an understood the code that my teammates have written and the requirements at hand

09/18/2024, jchen526, 30 minutes, wrote the calculate maximum function

09/18/2024, jchen526, 1 hour, wrote the calculate mean function

09/18/2024, jchen526, 10 minutes, tested functions on test.csv to see if it works and I believe it returns the correct values


